site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,delay,hiding_location,pick,correct,researcher,life_expectancy,norm_age
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,1,20,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,1,21,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,2,22,long,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,2,23,long,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,2,24,long,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,3,25,medium,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,3,26,medium,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,3,27,medium,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,1,28,medium,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,1,29,medium,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,1,30,medium,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,2,31,short,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,2,32,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,2,33,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,3,34,long,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,3,35,long,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,4,3,36,long,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,1,1,short,2,1,0,julia,39,1.0696652004443414
