site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,condition,hiding_location,pick,correct,researcher,life_expectancy,norm_age
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,3,27,long,1,2,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,1,28,medium,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,1,29,medium,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,1,30,medium,2,3,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,2,31,long,2,3,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,2,32,long,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,2,33,long,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,3,34,short,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,3,35,short,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,4,3,36,short,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,1,1,medium,2,2,1,voelter,46,-0.6793486130579259
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,1,2,medium,1,1,1,voelter,46,-0.6793486130579259
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,1,3,medium,3,3,1,voelter,46,-0.6793486130579259
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,2,4,short,3,3,1,voelter,46,-0.6793486130579259
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,2,5,short,1,1,1,voelter,46,-0.6793486130579259
edinburgh,brown_capuchin_monkey,chico_edi,9,11,yes,60,single,1,2,6,short,2,2,1,voelter,46,-0.6793486130579259
